   163     -1  18832 1.074159E-04 1.074159E-04 3.182000E-06 3.221814E-17 0.000000E+00
   164     -1  18813 3.182000E-06 3.182000E-06 2.623944E-05 4.188359E-16 0.000000E+00
   165     -1  18812 4.877914E-05 4.877914E-05 1.591000E-05 9.343262E-16 0.000000E+00
   166     -1  18807 9.913299E-05 9.913299E-05 7.115168E-06 1.288726E-16 0.000000E+00
   167     -1  18797 3.182000E-06 3.182000E-06 2.623944E-05 4.188359E-16 0.000000E+00
   168     -1  18793 8.057789E-05 8.057789E-05 7.115168E-06 1.610907E-16 0.000000E+00
   169     -1  18779 2.134484E-04 2.134484E-04 6.364000E-06 2.899633E-16 0.000000E+00
   170     -1  18769 3.182000E-06 3.182000E-06 2.565410E-05 1.610907E-16 0.000000E+00
   171  18731      0 3.001893E-05 3.001893E-05 4.500028E-06 1.288726E-16 0.000000E+00
   172     -1  18726 3.182000E-06 3.182000E-06 2.565410E-05 1.610907E-16 0.000000E+00
   173     -1  18725 3.514634E-05 3.514634E-05 4.500028E-06 1.288726E-16 0.000000E+00
   174  18673      0 1.124344E-04 1.124344E-04 6.364000E-06 2.899633E-16 0.000000E+00
   175     -1  18664 1.180038E-04 1.180038E-04 4.500028E-06 9.665443E-17 0.000000E+00
   176     -1  18663 6.232373E-05 6.232373E-05 9.000055E-06 4.188359E-16 0.000000E+00
   177  18657      0 3.182000E-06 3.182000E-06 2.545600E-05 1.449817E-15 0.000000E+00
   178     -1  18638 1.205970E-04 1.205970E-04 3.182000E-06 3.221814E-17 0.000000E+00
   179  18632      0 3.182000E-06 3.182000E-06 2.545600E-05 1.449817E-15 0.000000E+00
   180  18631      0 1.170142E-04 1.170142E-04 4.500028E-06 9.665443E-17 0.000000E+00
   181  18629      0 3.182000E-06 3.182000E-06 2.545600E-05 1.449817E-15 0.000000E+00
   182  18587      0 1.316499E-04 1.316499E-04 7.115168E-06 1.610907E-16 0.000000E+00
   183     -1  18566 3.935917E-05 3.935917E-05 1.147286E-05 4.188359E-16 0.000000E+00
   184     -1  18562 2.755693E-05 2.755693E-05 4.500028E-06 1.288726E-16 0.000000E+00
   185  18508      0 3.182000E-06 3.182000E-06 2.810266E-05 1.449817E-15 0.000000E+00
   186     -1  18496 3.412315E-05 3.412315E-05 9.000055E-06 4.188359E-16 0.000000E+00
   187     -1  18480 8.210521E-05 8.210521E-05 9.546000E-06 6.765810E-16 0.000000E+00
   188     -1  18466 3.197870E-05 3.197870E-05 9.546000E-06 3.221814E-17 0.000000E+00
   189     -1  18421 4.567029E-05 4.567029E-05 7.115168E-06 1.610907E-16 0.000000E+00
   190  18376      0 3.182000E-06 3.182000E-06 2.444141E-05 1.192071E-15 0.000000E+00
   191  18375      0 3.182000E-06 3.182000E-06 2.984981E-05 6.765810E-16 0.000000E+00
   192     -1  18337 3.182000E-06 3.182000E-06 2.444141E-05 1.192071E-15 0.000000E+00
   193  18313      0 1.448940E-04 1.448940E-04 1.458176E-05 6.765810E-16 0.000000E+00
   194     -1  18304 6.353404E-05 6.353404E-05 3.182000E-06 3.221814E-17 0.000000E+00
   195     -1  18303 7.535545E-05 7.535545E-05 1.190595E-05 6.765810E-16 0.000000E+00
   196     -1  18264 3.884126E-05 3.884126E-05 1.102277E-05 2.899633E-16 0.000000E+00
   197     -1  18206 3.182000E-06 3.182000E-06 2.545600E-05 1.449817E-15 0.000000E+00
   198  18191      0 2.755693E-05 2.755693E-05 4.500028E-06 1.610907E-16 0.000000E+00
   199     -1  18189 4.864893E-05 4.864893E-05 4.500028E-06 1.610907E-16 0.000000E+00
   200  18148      0 5.757586E-05 5.757586E-05 1.055350E-05 2.899633E-16 0.000000E+00
   201     -1  18111 5.978435E-05 5.978435E-05 1.855409E-05 9.343262E-16 0.000000E+00
   202     -1  18110 3.182000E-06 3.182000E-06 2.863800E-05 1.836434E-15 0.000000E+00
   203  18106      0 5.875940E-05 5.875940E-05 2.158137E-05 1.192071E-15 0.000000E+00
   204     -1  18095 1.244462E-04 1.244462E-04 1.350008E-05 2.899633E-16 0.000000E+00
   205     -1  18091 3.557584E-05 3.557584E-05 1.311972E-05 1.610907E-16 0.000000E+00
   206     -1  18054 3.182000E-06 3.182000E-06 2.338283E-05 6.765810E-16 0.000000E+00
   207     -1  18053 3.182000E-06 3.182000E-06 2.565410E-05 1.610907E-16 0.000000E+00
   208     -1  18051 5.955834E-05 5.955834E-05 7.115168E-06 1.610907E-16 0.000000E+00
   209  18035      0 1.123691E-04 1.123691E-04 4.500028E-06 6.443629E-17 0.000000E+00
   210  18033      0 6.247183E-05 6.247183E-05 5.511386E-06 2.577452E-16 0.000000E+00
